*unit,GtC/yr,GtC/yr,MtCH4/yr,MtCH4/yr,MtN2O-N/yr,MtN2O-N/yr,MtS/yr,MtS/yr,MtCO/yr,MtCO/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,Mt/yr,Mt/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
year,co2i,co2l,ch4i,ch4l,n2oi,n2ol,so2i,so2l,coi,col,voci,vocl,noxi,noxl,bci,bcl,oci,ocl,nh3i,nh3l,hfc125,hfc134a,hfc143a,hfc227ea,hfc23,hfc245fa,hfc32,hfc4310mee,hfc152a,hfc236fa,hfc365mfc,hfc134,hfc143,hfc41,nf3,cf4,c3f8,cc4f8,c4f10,c5f12,cfc11,cfc12,cfc113,cfc114,cfc115,ccl4,ch3ccl3,hcfc22,hcfc141b,hcfc142b,halon1211,halon1202,halon1301,halon2402,ch3br,ch3cl
1863,0.0927441059634,0.52296127467489,53.4593748773509,11.6499488119215,0.568099929483784,0.322609892645281,2.61613845715501,1.03729695752042,373.543201646299,282.464459915384,60.6860784019598,49.2070154968359,9.46945573345111,9.0777508951332,2.69131615682242,1.6520098365775,19.3150061892772,14.6061584628483,8.34551427746137,3.53893461555633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925952372361372,0,0,0,0,0,0,0,0,0,2.081,0,0,0,0,0,0,0,0,157.267,3100.211
1864,0.099593392223691,0.523290392962465,54.6730179124708,11.6463065476584,0.56557219429839,0.320006085328207,2.71811873995253,1.0401789679943,375.650021094593,283.635915988087,60.920311015477,49.3404197260789,9.69409740644038,9.28504662018414,2.72451011393549,1.66540691844258,19.328265667815,14.5730133869749,8.35250818480816,3.52137541521451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092596748404149,0,0,0,0,0,0,0,0,0,2.134,0,0,0,0,0,0,0,0,157.267,3100.211
1865,0.105557999251453,0.524043464125373,56.1611266637734,11.9171299995779,0.573769211921194,0.328034298112991,2.82458041396744,1.06239046354723,382.491880888277,289.593433165506,62.1374924876354,50.4562085298574,9.84294891112165,9.41595377183406,2.77320252687883,1.69531461073939,19.7553305395711,14.9552929632814,8.46587010794643,3.61011569547998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925982506303386,0,0,0,0,0,0,0,0,0,2.184,0,0,0,0,0,0,0,0,157.267,3100.211
1866,0.108888927143849,0.524171347378176,57.2346196192874,11.7733376557087,0.574664553156165,0.328792465812577,2.8681495748933,1.04788655569265,379.898725027402,286.136607628229,61.5838055239941,49.7985588217341,9.76563317281488,9.32164263497904,2.7735108383513,1.67803362840544,19.5664454242713,14.71590502697,8.44485995265097,3.56417333017256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925997617983504,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,157.267,3100.211
1867,0.117133754862856,0.522635285009554,58.6385061583855,11.9599388954237,0.577280287302616,0.33126555122771,2.99825262147647,1.06518470343712,385.82253082861,290.86733432003,62.5720711966553,50.6421341046205,9.9725667794517,9.51028292265186,2.82700210930529,1.70566317100761,19.8891588347221,14.9748269581308,8.533650578542,3.61995456566281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926012908500078,0,0,0,0,0,0,0,0,0,2.291,0,0,0,0,0,0,0,0,157.267,3100.211
1868,0.120722370291861,0.521155003213646,60.1258405092391,12.2299879468942,0.592471447125019,0.346371978574891,3.08971892334605,1.08970821991643,393.321810814088,297.675608844404,63.8945390442696,51.8820278772751,10.2585906706962,9.78134079676248,2.88323152713593,1.74371628431077,20.2844302920386,15.3254102404717,8.63776837829408,3.69915775764783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926028109598424,0,0,0,0,0,0,0,0,0,2.341,0,0,0,0,0,0,0,0,157.267,3100.211
1869,0.128361468130235,0.519489034249126,61.0424521306769,11.929314268949,0.583271877545677,0.336956458698024,3.17141831028008,1.06527267212528,386.789563811543,290.189884964273,62.6970585756881,50.5783874709043,9.9649887807173,9.46873901293062,2.85926954034509,1.69888007091289,19.9678064672186,14.9581318729496,8.57574164459298,3.61131460704201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926043400114998,0,0,0,0,0,0,0,0,0,2.386,0,0,0,0,0,0,0,0,157.267,3100.211
1870,0.13154855767747,0.518379477268382,62.4331185105161,12.1026953494051,0.590749272161258,0.343539653865899,3.24311004288401,1.08028558213532,392.069650128544,294.479324014945,63.6135435566396,51.3603659084722,10.1483133854582,9.63572247711942,2.903802068072,1.72203444788227,20.2565440816349,15.1845559921892,8.65605582809218,3.6603131253757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926058511795116,0,0,0,0,0,0,0,0,0,2.452,0,0,0,0,0,0,0,0,157.267,3100.211
1871,0.140723445617344,0.538497598445719,63.4387126912564,11.8480515943604,0.583832241581001,0.332599553456468,3.37208508397321,1.05869724095715,387.223328356304,288.725925365217,62.6339375984392,50.266693838494,10.0250437536521,9.4904762678811,2.88828888686194,1.69346412616693,19.9384194843555,14.8365515739148,8.61310055885331,3.58071313279967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926094815594694,0,0,0,0,0,0,0,0,0,2.505,0,0,0,0,0,0,0,0,157.267,3100.211
1872,0.157213568258014,0.623882751194178,64.4529265983131,11.6020275656321,0.580795330501312,0.318982558719834,3.5555329545373,1.03744573139689,382.379875846664,282.564660827875,61.6598679717836,49.1436343416634,9.79774574453204,9.23784939848016,2.87357444479478,1.65927805056169,19.6756187626107,14.5311565065396,8.58125128471487,3.51202874993975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926131119394278,0,0,0,0,0,0,0,0,0,2.557,0,0,0,0,0,0,0,0,157.267,3100.211
