*year,value
"1819.333",0
"1819.5",0
"1819.667",0
"1819.833",0
"1820",0
"1820.167",0
"1820.333",0
"1820.5",0
"1820.667",0
"1820.833",0
"1821",0
"1821.167",0
"1821.333",0
"1821.5",0
"1821.667",0
"1821.833",0
"1822",0
"1822.167",0
"1822.333",0
"1822.5",0
"1822.667",0
"1822.833",0
"1823",0
"1823.167",0
"1823.333",0
"1823.5",0
"1823.667",0
"1823.833",0
"1824",0
"1824.167",0
"1824.333",0
"1824.5",0
"1824.667",0
"1824.833",0
"1825",0
"1825.167",0
"1825.333",0
"1825.5",0
"1825.667",0
"1825.833",0
"1826",0
"1826.167",0
"1826.333",0
"1826.5",0
"1826.667",0
"1826.833",0
"1827",0
"1827.167",0
"1827.333",0
"1827.5",0
"1827.667",0
"1827.833",0
"1828",0
"1828.167",0
"1828.333",0
"1828.5",0
"1828.667",0
"1828.833",0
"1829",0
"1829.167",0
"1829.333",0
"1829.5",0
"1829.667",0
"1829.833",0
"1830",0
"1830.167",0
"1830.333",0
"1830.5",0
"1830.667",0
"1830.833",0
"1831",0
"1831.167",0
"1831.333",0
"1831.5",0
"1831.667",0
"1831.833",0
"1832",0
"1832.167",0
"1832.333",0
"1832.5",0
"1832.667",0
"1832.833",0
"1833",0
"1833.167",0
"1833.333",0
"1833.5",0
"1833.667",0
"1833.833",0
"1834",0
"1834.167",0
"1834.333",0
"1834.5",0
"1834.667",0
"1834.833",0
"1835",0
"1835.167",0
"1835.333",0
"1835.5",0
"1835.667",0
"1835.833",0
"1836",0
"1836.167",0
"1836.333",0
"1836.5",0
"1836.667",0
"1836.833",0
"1837",0
"1837.167",0
"1837.333",0
"1837.5",0
"1837.667",0
"1837.833",0
"1838",0
"1838.167",0
"1838.333",0
"1838.5",0
"1838.667",0
"1838.833",0
"1839",0
"1839.167",0
"1839.333",0
"1839.5",0
"1839.667",0
"1839.833",0
"1840",0
"1840.167",0
"1840.333",0
"1840.5",0
"1840.667",0
"1840.833",0
"1841",0
"1841.167",0
"1841.333",0
"1841.5",0
"1841.667",0
"1841.833",0
"1842",0
"1842.167",0
"1842.333",0
"1842.5",0
"1842.667",0
"1842.833",0
"1843",0
"1843.167",0
"1843.333",0
"1843.5",0
"1843.667",0
"1843.833",0
"1844",0
"1844.167",0
"1844.333",0
"1844.5",0
"1844.667",0
"1844.833",0
"1845",0
"1845.167",0
"1845.333",0
"1845.5",0
"1845.667",0
"1845.833",0
"1846",0
"1846.167",0
"1846.333",0
"1846.5",0
"1846.667",0
"1846.833",0
"1847",0
"1847.167",0
"1847.333",0
"1847.5",0
"1847.667",0
"1847.833",0
"1848",0
"1848.167",0
"1848.333",0
"1848.5",0
"1848.667",0
"1848.833",0
"1849",0
"1849.167",0
"1849.333",0
"1849.5",0
"1849.667",0
"1849.833",0
"1850",0
"1850.167",0
"1850.333",0
"1850.5",0
"1850.667",0
"1850.833",0
"1851",0
"1851.167",0
"1851.333",0
"1851.5",0
"1851.667",0
"1851.833",0
"1852",0
"1852.167",0
"1852.333",0
"1852.5",0
"1852.667",0
"1852.833",0
"1853",0
"1853.167",0
"1853.333",0
"1853.5",0
"1853.667",0
"1853.833",0
"1854",0
"1854.167",0
"1854.333",0
"1854.5",0
"1854.667",0
"1854.833",0
"1855",0
"1855.167",0
"1855.333",0
"1855.5",0
"1855.667",0
"1855.833",0
"1856",0
"1856.167",0
"1856.333",0
"1856.5",0
"1856.667",0
"1856.833",0
"1857",0
"1857.167",0
"1857.333",0
"1857.5",0
"1857.667",0
"1857.833",0
"1858",0
"1858.167",0
"1858.333",0
"1858.5",0
"1858.667",0
"1858.833",0
"1859",0
"1859.167",0
"1859.333",0
"1859.5",0
"1859.667",0
"1859.833",0
"1860",0
"1860.167",0
"1860.333",0
"1860.5",0
"1860.667",0
"1860.833",0
"1861",0
"1861.167",0
"1861.333",0
"1861.5",0
"1861.667",0
"1861.833",0
"1862",0
"1862.167",0
"1862.333",0
"1862.5",0
"1862.667",0
"1862.833",0
"1863",0
"1863.167",0
"1863.333",0
"1863.5",0
"1863.667",0
"1863.833",0
"1864",0
"1864.167",0
"1864.333",0
"1864.5",0
"1864.667",0
"1864.833",0
"1865",0
"1865.167",0
"1865.333",0
"1865.5",0
"1865.667",0
"1865.833",0
"1866",0
"1866.167",0
"1866.333",0
"1866.5",0
"1866.667",0
"1866.833",0
"1867",0
"1867.167",0
"1867.333",0
"1867.5",0
"1867.667",0
"1867.833",0
"1868",0
"1868.167",0
"1868.333",0
"1868.5",0
"1868.667",0
"1868.833",0
"1869",0
"1869.167",0
"1869.333",0
"1869.5",0
"1869.667",0
"1869.833",0
"1870",0
"1870.167",0
"1870.333",0
"1870.5",0
"1870.667",0
"1870.833",0
"1871",0
"1871.167",0
"1871.333",0
"1871.5",0
"1871.667",0
"1871.833",0
"1872",0
"1872.167",0
"1872.333",0
"1872.5",0
"1872.667",0
"1872.833",0
"1873",0
"1873.167",0
"1873.333",0
"1873.5",0
"1873.667",0
"1873.833",0
"1874",0
"1874.167",0
"1874.333",0
"1874.5",0
"1874.667",0
"1874.833",0
"1875",0
"1875.167",0
"1875.333",0
"1875.5",0
"1875.667",0
"1875.833",0
"1876",0
"1876.167",0
"1876.333",0
"1876.5",0
"1876.667",0
"1876.833",0
"1877",0
"1877.167",0
"1877.333",0
"1877.5",0
"1877.667",0
"1877.833",0
"1878",0
"1878.167",0
"1878.333",0
"1878.5",0
"1878.667",0
"1878.833",0
"1879",0
"1879.167",0
"1879.333",0
"1879.5",0
"1879.667",0
"1879.833",0
"1880",0
"1880.167",0
"1880.333",0
"1880.5",0
"1880.667",0
"1880.833",0
"1881",0
"1881.167",0
"1881.333",0
"1881.5",0
"1881.667",0
"1881.833",0
"1882",0
"1882.167",0
"1882.333",0
"1882.5",0
"1882.667",0
"1882.833",0
"1883",0
"1883.167",0
"1883.333",0
"1883.5",0
"1883.667",0
"1883.833",0
"1884",0
"1884.167",0
"1884.333",0
"1884.5",0
"1884.667",0
"1884.833",0
"1885",0
"1885.167",0
"1885.333",0
"1885.5",0
"1885.667",0
"1885.833",0
"1886",0
"1886.167",0
"1886.333",0
"1886.5",0
"1886.667",0
"1886.833",0
"1887",0
"1887.167",0
"1887.333",0
"1887.5",0
"1887.667",0
"1887.833",0
"1888",0
"1888.167",0
"1888.333",0
"1888.5",0
"1888.667",0
"1888.833",0
"1889",0
"1889.167",0
"1889.333",0
"1889.5",0
"1889.667",0
"1889.833",0
"1890",0
"1890.167",0
"1890.333",0
"1890.5",0
"1890.667",0
"1890.833",0
"1891",0
"1891.167",0
"1891.333",0
"1891.5",0
"1891.667",0
"1891.833",0
"1892",0
"1892.167",0
"1892.333",0
"1892.5",0
"1892.667",0
