"SSP","a","b","c","d"
"SSP1",230.3662,1825.5492,2.6688,34.1040
"SSP2",344.6191,1674.5386,1.8800,10.5414
"SSP3",213.6541,2581.8117,1.0000,9.1587
"SSP4",167.8018,828.1819,2.2168,29.8672
"SSP5",200.8078,995.9669,1.0000,5.8582
