"SSP","a","b","c","d"
"SSP1",248.3865,6840.6268,2.1583,24.4591
"SSP2",520.6697,16949.3813,2.4901,27.1466
"SSP3",511.7009,2493.4460,2.6189,14.4776
"SSP4",450.9979,64889.7794,3.1168,47.2819
"SSP5",387.2340,272.1219,1.5182,4.7675
