"SSP","a","b","c","d"
"SSP1",122.5771,2156.7188,3.2881,24.8750
"SSP2",148.9336,2327.1607,2.7381,13.1984
"SSP3",204.8930,4177.9277,2.4423,10.3501
"SSP4",120.3167,2182.8690,3.1113,20.6759
"SSP5",73.3734,1780.3769,1.5041,6.9618
