"SSP","a","b","c","d"
"SSP1",227.5382,5973.7062,1.8424,26.4667
"SSP2",772.3624,224195.5234,3.4877,36.5357
"SSP3",708.2095,37398.1298,3.0588,18.8438
"SSP4",231.5885,4471.0813,1.8454,21.8211
"SSP5",320.5114,540.2788,1.5193,4.5193
