"SSP","a","b","c","d"
"SSP1",240.1862,3726.3462,4.2255,45.5745
"SSP2",708.8709,1000000.0000,5.3082,64.4153
"SSP3",600.2576,39104.4461,4.3555,27.0476
"SSP4",247.5044,4564.5369,4.3072,41.2257
"SSP5",24.2517,782.5262,1.0000,5.0648
