"SSP","a","b","c","d"
"SSP1",465.3135,3160.8326,4.1604,22.1454
"SSP2",566.2958,3095.1042,3.9184,16.4871
"SSP3",306.4531,16497.4162,2.7723,22.3039
"SSP4",653.5431,1000000.0000,3.4763,78.1099
"SSP5",450.5929,222.5495,2.0143,5.0143
