"SSP","a","b","c","d"
"SSP1",212.8102,4841.0122,1.7670,30.4479
"SSP2",423.1660,7153.3789,1.7195,14.3898
"SSP3",365.6939,22950.7844,1.2632,9.3572
"SSP4",223.0322,12332.8960,1.7394,28.4152
"SSP5",202.8034,879.5059,1.0000,4.7672
