"SSP","a","b","c","d"
"SSP1",219.3963,55933.5297,2.0792,76.1311
"SSP2",315.3948,6170.4750,2.2094,26.1524
"SSP3",236.3396,2288.0378,1.9533,15.2881
"SSP4",191.1772,5373.6726,2.3132,30.2906
"SSP5",167.3412,983.2462,1.0894,11.0482
