"SSP","a","b","c","d"
"SSP1",156.2163,1.0000,2.2706,14.1452
"SSP2",192.2045,1.0000,1.6475,13.7987
"SSP3",235.696400553997,99.5990381649414,1.2,10
"SSP4",124.406372077527,0.000203351958712417,1.2,20
"SSP5",157.770809693952,0.00608444833018821,1.2,20
