year,ssp1,ssp2,ssp3,ssp4,ssp5
2089,7481.40802,9236.5521,12084.23583,9384.37559,7863.28143
2090,7435.4936,9220.2795,12134.327,9377.1331,7826.3127
2091,7380.1027,9197.31486,12182.90785,9366.04643,7780.57119
2092,7324.7118,9174.35022,12231.4887,9354.95976,7734.82968
2093,7269.3209,9151.38558,12280.06955,9343.87309,7689.08817
2094,7213.93,9128.42094,12328.6504,9332.78642,7643.34666
2095,7158.5391,9105.4563,12377.23125,9321.69975,7597.60515
2096,7103.1482,9082.49166,12425.8121,9310.61308,7551.86364
2097,7047.7573,9059.52702,12474.39295,9299.52641,7506.12213
2098,6992.3664,9036.56238,12522.9738,9288.43974,7460.38062
2099,6936.9755,9013.59774,12571.55465,9277.35307,7414.63911
2100,6886.827661,8959.994914,12639.38492,9263.284576,7393.335575
2101,6839.52304,8909.367519,12704.16263,9249.939268,7373.153913
2102,6794.884651,8861.536486,12766.00894,9237.279034,7354.032364
2103,6752.748058,8816.334875,12825.04179,9225.267862,7335.912827
2104,6712.960347,8773.606926,12881.37582,9213.871716,7318.740621
2105,6675.379186,8733.207196,12935.12234,9203.058416,7302.46426
2106,6639.871976,8694.999775,12986.38922,9192.797536,7287.035245
2107,6606.315081,8658.857565,13035.28096,9183.060297,7272.407878
2108,6574.593127,8624.661626,13081.89859,9173.819473,7258.539076
2109,6544.59837,8592.300581,13126.33976,9165.049304,7245.388212
2110,6516.230111,8561.670063,13168.69869,9156.725409,7232.916962
2111,6489.39417,8532.672219,13209.06629,9148.824711,7221.089158
2112,6464.002401,8505.215242,13247.53011,9141.325363,7209.87066
2113,6439.972252,8479.212956,13284.17449,9134.206676,7199.229231
2114,6417.226361,8454.58442,13319.08053,9127.449058,7189.134421
2115,6395.692182,8431.253573,13352.32621,9121.033952,7179.557464
2116,6375.301648,8409.148906,13383.98648,9114.943778,7170.471171
2117,6355.990858,8388.203153,13414.13326,9109.161878,7161.849845
2118,6337.699789,8368.353015,13442.8356,9103.672471,7153.669186
2119,6320.372031,8349.538895,13470.15971,9098.460599,7145.906216
2120,6303.954544,8331.704662,13496.16905,9093.512084,7138.539197
2121,6288.397434,8314.797425,13520.92444,9088.813487,7131.547565
2122,6273.653742,8298.76733,13544.48412,9084.352069,7124.911856
2123,6259.679254,8283.567366,13566.90384,9080.115751,7118.613652
2124,6246.432323,8269.153188,13588.23694,9076.093078,7112.635516
2125,6233.873707,8255.482952,13608.53446,9072.273189,7106.960936
2126,6221.966409,8242.517161,13627.84518,9068.645784,7101.574279
2127,6210.675543,8230.218521,13646.21576,9065.201093,7096.460736
2128,6199.9682,8218.551812,13663.69073,9061.929848,7091.606281
2129,6189.813322,8207.483756,13680.31269,9058.823259,7086.997625
2130,6180.181595,8196.98291,13696.12228,9055.872986,7082.622175
2131,6171.045337,8187.019551,13711.15831,9053.071117,7078.468001
2132,6162.378402,8177.565577,13725.45783,9050.410144,7074.523791
2133,6154.156088,8168.594414,13739.05619,9047.882944,7070.778828
2134,6146.355053,8160.080925,13751.9871,9045.482757,7067.22295
2135,6138.953228,8152.001329,13764.28275,9043.20317,7063.846522
2136,6131.929752,8144.333123,13775.97379,9041.038094,7060.640409
2137,6125.264892,8137.055009,13787.08948,9038.981752,7057.59595
2138,6118.939985,8130.146825,13797.65769,9037.028661,7054.704929
2139,6112.937373,8123.589482,13807.705,9035.173615,7051.959557
2140,6107.240346,8117.364906,13817.25672,9033.411674,7049.352443
2141,6101.833088,8111.455976,13826.33697,9031.738148,7046.876577
2142,6096.700627,8105.846476,13834.96873,9030.148586,7044.52531
2143,6091.828789,8100.521045,13843.1739,9028.638761,7042.292333
2144,6087.204148,8095.465126,13850.97332,9027.204661,7040.171661
2145,6082.813991,8090.664926,13858.38684,9025.842477,7038.157613
2146,6078.646275,8086.107373,13865.43335,9024.548592,7036.244802
2147,6074.689589,8081.780075,13872.13086,9023.319574,7034.428113
2148,6070.933124,8077.671287,13878.49649,9022.152161,7032.702693
2149,6067.366633,8073.769873,13884.54655,9021.043259,7031.063935
2150,6063.980408,8070.065275,13890.29654,9019.989929,7029.50747
2151,6060.765244,8066.547482,13895.76124,9018.989379,7028.029146
2152,6057.712418,8063.206999,13900.9547,9018.038959,7026.625027
2153,6054.813657,8060.034821,13905.89028,9017.136153,7025.291374
2154,6052.061119,8057.022408,13910.58071,9016.278571,7024.024638
2155,6049.447367,8054.161659,13915.03808,9015.463944,7022.82145
2156,6046.965348,8051.444887,13919.2739,9014.690116,7021.678612
2157,6044.608373,8048.864804,13923.29913,9013.955041,7020.593089
2158,6042.370098,8046.41449,13927.12417,9013.256775,7019.561997
2159,6040.244505,8044.087383,13930.75894,9012.593473,7018.5826
2160,6038.225884,8041.877254,13934.21284,9011.963381,7017.6523
2161,6036.308818,8039.778195,13937.49485,9011.364834,7016.768628
2162,6034.48817,8037.784596,13940.61347,9010.796252,7015.929244
2163,6032.759063,8035.891135,13943.5768,9010.256132,7015.131921
2164,6031.11687,8034.09276,13946.39255,9009.743048,7014.374549
2165,6029.557201,8032.384676,13949.06804,9009.255645,7013.655121
2166,6028.075888,8030.762333,13951.61024,9008.792637,7012.971733
2167,6026.668979,8029.221411,13954.02575,9008.352801,7012.322576
