year,ssp1,ssp2,ssp3,ssp4,ssp5
1949,2.19157,2.01109,2.14,1.90799,1.95953
1950,2.20618,2.02449,2.15428,1.92065,1.9726
1951,2.27446,2.08715,2.22094,1.98013,2.03364
1952,2.3423,2.14941,2.28719,2.03918,2.09429
1953,2.40984,2.21137,2.35313,2.09797,2.15466
1954,2.47705,2.27304,2.41877,2.15647,2.21475
1955,2.54411,2.33461,2.48425,2.21489,2.27476
1956,2.61052,2.39549,2.54909,2.27265,2.33407
1957,2.67691,2.45642,2.61391,2.33049,2.39347
1958,2.7434,2.51747,2.67884,2.38841,2.45291
1959,2.81022,2.57878,2.74409,2.44651,2.51265
1960,2.87738,2.6404,2.80967,2.50501,2.57273
1961,2.94263,2.70032,2.87343,2.56185,2.63106
1962,3.00844,2.76068,2.93763,2.61913,2.68989
1963,3.07486,2.82164,3.00254,2.67693,2.74932
1964,3.14217,2.8834,3.06821,2.73549,2.80945
1965,3.21023,2.94585,3.13472,2.79479,2.87034
1966,3.27599,3.00617,3.1989,2.85201,2.92912
1967,3.3424,3.06715,3.26378,2.90985,2.98852
1968,3.40965,3.12885,3.32945,2.96839,3.04865
1969,3.47779,3.1914,3.39597,3.02774,3.10954
1970,3.5469,3.25481,3.46345,3.08789,3.17133
1971,3.61951,3.32143,3.53436,3.15113,3.23628
1972,3.73852,3.43063,3.65057,3.25472,3.34267
1973,3.85916,3.54131,3.76835,3.35971,3.4505
1974,3.88182,3.56214,3.79048,3.37947,3.4708
1975,3.90737,3.58558,3.81542,3.4017,3.49364
1976,3.94021,3.61571,3.8475,3.43028,3.523
1977,3.97525,3.6479,3.88171,3.46082,3.55435
1978,4.01227,3.68182,3.91785,3.49303,3.58745
1979,4.05097,3.71736,3.95566,3.52673,3.62207
1980,4.0913,3.75435,3.99501,3.56182,3.6581
1981,4.10797,3.76967,4.01129,3.57634,3.67298
1982,4.12672,3.78687,4.02963,3.5927,3.68978
1983,4.14738,3.80584,4.0498,3.61067,3.70826
1984,4.16978,3.82639,4.07168,3.63018,3.72829
1985,4.19359,3.84822,4.09492,3.65089,3.74957
1986,4.21794,3.87058,4.1187,3.67209,3.77133
1987,4.24336,3.89389,4.14352,3.6942,3.79404
1988,4.26971,3.91809,4.16925,3.71714,3.81763
1989,4.2969,3.94302,4.19577,3.74082,3.84193
1990,4.32477,3.96862,4.22304,3.7651,3.86687
1991,4.36028,4.00118,4.25768,3.79603,3.89861
1992,4.39686,4.03476,4.29338,3.82782,3.93131
1993,4.4345,4.06933,4.33018,3.86064,3.96497
1994,4.47288,4.10456,4.36765,3.89404,3.99928
1995,4.51171,4.14017,4.40556,3.92784,4.034
1996,4.55789,4.18255,4.45065,3.96807,4.07531
1997,4.60472,4.22552,4.49637,4.00879,4.11715
1998,4.65214,4.26902,4.54269,4.05011,4.15956
1999,4.7002,4.31312,4.58962,4.09195,4.20254
2000,4.74883,4.35775,4.6371,4.13426,4.24601
