"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2055,28.5710726619,21.5392849417,14.3963117749,19.6330930539,36.5830588335
2056,29.1934870689,21.9388988047,14.4761560162,19.9112551169,37.6570295488
2057,29.8150853714,22.3363011731,14.5545942524,20.1874762506,38.7295504118
2058,30.4359457668,22.731568072,14.6317162342,20.4618422106,39.8006658427
2059,31.0561437306,23.1247722461,14.7076047025,20.734433575,40.8704238686
2060,31.6757517407,23.5159830598,14.7823358657,21.0053259043,41.9388749516
2061,32.3236555107,23.9893954952,14.8739619983,21.2962869921,43.2457802336
2062,32.9728195097,24.4617351521,14.9644928581,21.5861787906,44.5546681961
2063,33.6233170851,24.9330464149,15.0539860826,21.8750566581,45.8655773613
2064,34.2752184164,25.4033715283,15.1424948005,22.1629720481,47.1785487605
2065,34.9285905484,25.8727505696,15.2300679739,22.4499727192,48.4936251745
2066,35.5834974545,26.3412214495,15.3167507214,22.7361029468,49.810850499
2067,36.2400001209,26.8088199369,15.4025846208,23.0214037322,51.1302692179
2068,36.89815665,27.2755797021,15.4876079928,23.3059130081,52.4519259704
2069,37.5580223751,27.7415323748,15.5718561649,23.5896658375,53.7758651983
2070,38.2196499839,28.2067076129,15.6553617168,23.8726946067,55.1021308628
2071,38.8670805045,28.7408907665,15.7485178038,24.1638793266,56.6269687747
2072,39.5179181833,29.2752620332,15.8409445532,24.45479382,58.1579700881
2073,40.1722362742,29.8098431513,15.93266747,24.7454623526,59.6952096683
2074,40.8301062074,30.3446545369,16.0237101821,25.0359072197,61.2387625989
2075,41.4915977579,30.8797153374,16.114094597,25.3261488925,62.7887040333
2076,42.1567792081,31.4150434858,16.2038410466,25.6162061575,64.3451090821
2077,42.8257175036,31.950655759,16.2929684199,25.9060962453,65.9080527285
2078,43.4984784019,32.4865678361,16.3814942847,26.1958349519,67.4776097689
2079,44.1751266147,33.0227943566,16.4694350001,26.4854367515,69.0538547744
2080,44.8557259427,33.5593489791,16.5568058184,26.7749149009,70.6368620695
2081,45.5266433337,34.1699656877,16.6561161163,27.0696262398,72.4466160661
2082,46.2032107232,34.781965324,16.7548220595,27.364540535,74.267971771
2083,46.8855326845,35.3953639347,16.8529364802,27.659668535,76.1010810939
2084,47.5737144918,36.0101769612,16.9504714534,27.955020124,77.9460976892
2085,48.2678622713,36.626419276,17.0474383589,28.2506043935,79.8031769894
2086,48.9680831467,37.2441052185,17.1438479384,28.5464297081,81.672476248
2087,49.6744853804,37.8632486304,17.2397103477,28.8425037667,83.5541545908
2088,50.3871785101,38.483862889,17.3350352043,29.1388336578,85.4483730742
2089,51.1062734819,39.1059609404,17.4298316308,29.4354259117,87.35529475
2090,51.8318827801,39.7295553298,17.5241082947,29.7322865474,89.2750847347
2091,52.5209181209,40.4254980251,17.639460764,30.055052506,91.4250968825
2092,53.2177722237,41.1238770735,17.7542025789,30.3783167674,93.5934356925
