"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1815,-0.00114817,-0.013300889,-0.00016169734,-0.0081795985,-0.00030343783,-0.011007458,0.0010919738,0.031198862
1816,-0.0012094462,-0.013860337,-0.00016545511,-0.0083007741,-0.00033715314,-0.011085312,0.0012133042,0.031413244
1817,-0.0012715091,-0.014409878,-0.00016928733,-0.0084204415,-0.00037086846,-0.011159646,0.0013346347,0.031617364
1818,-0.0012848699,-0.0143989,-0.00017233165,-0.0084991826,-0.00037086846,-0.011230578,0.0013346347,0.031811556
1819,-0.0012983579,-0.014382955,-0.00017543742,-0.0085766891,-0.00037086846,-0.011298229,0.0013346347,0.031996156
1820,-0.0013119704,-0.014362205,-0.00017860655,-0.008653057,-0.00037086846,-0.011362716,0.0013346347,0.032171497
1821,-0.0013257048,-0.014336811,-0.00018184102,-0.0087283818,-0.00037086846,-0.011424159,0.0013346347,0.032337915
1822,-0.0013905955,-0.014846768,-0.0001860478,-0.0088420751,-0.00040458377,-0.011482676,0.0014559651,0.032495744
1823,-0.001456414,-0.01534668,-0.00019034584,-0.0089548097,-0.00043829908,-0.011538386,0.0015772955,0.032645319
1824,-0.0014713314,-0.015302445,-0.00019381166,-0.0090274645,-0.00043829908,-0.011591409,0.0015772955,0.032786975
1825,-0.0015386643,-0.015785105,-0.00019829089,-0.0091386036,-0.0004720144,-0.011641863,0.0016986259,0.032921046
1826,-0.0015542809,-0.015729655,-0.00020192116,-0.0092099546,-0.0004720144,-0.011689866,0.0016986259,0.033047866
1827,-0.0016231967,-0.01619515,-0.00020659446,-0.0093198563,-0.00050572971,-0.011735538,0.0018199564,0.033167771
1828,-0.0016395422,-0.016128847,-0.00021040113,-0.0093902662,-0.00050572971,-0.011778998,0.0018199564,0.033281094
1829,-0.0016560319,-0.016058885,-0.00021429429,-0.0094603716,-0.00050572971,-0.011820364,0.0018199564,0.033388172
1830,-0.0019999322,-0.019075922,-0.00022428547,-0.0097633465,-0.0007080216,-0.011859756,0.0025479389,0.033489338
1831,-0.0019645537,-0.018467139,-0.00022742787,-0.0097939336,-0.00067430628,-0.011897292,0.0024266085,0.033584926
1832,-0.0019839009,-0.01836995,-0.00023166947,-0.0098633241,-0.00067430628,-0.011933091,0.0024266085,0.033675273
1833,-0.0020594311,-0.018774215,-0.00023705593,-0.0099714012,-0.0007080216,-0.011967272,0.0025479389,0.033760711
1834,-0.0020796371,-0.018666971,-0.0002415184,-0.010040897,-0.0007080216,-0.011999953,0.0025479389,0.033841577
1835,-0.0021570421,-0.019054298,-0.0002471635,-0.010149105,-0.00074173691,-0.012031255,0.0026692693,0.033918204
1836,-0.0024082592,-0.02091342,-0.00025622039,-0.010372726,-0.00087659817,-0.012061294,0.003154591,0.033990927
1837,-0.0024316313,-0.020778913,-0.00026110163,-0.010442742,-0.00087659817,-0.012090192,0.003154591,0.034060081
1838,-0.0025138046,-0.021128102,-0.0002672277,-0.010551485,-0.00091031348,-0.012118065,0.0032759215,0.034126001
1839,-0.0025972656,-0.021466993,-0.00027351508,-0.010660611,-0.0009440288,-0.012145034,0.0033972519,0.03418902
1840,-0.0027416991,-0.022274544,-0.00028112507,-0.010808296,-0.0010114594,-0.012171216,0.0036399127,0.034249475
1841,-0.0028283385,-0.022589012,-0.0002877705,-0.010918332,-0.0010451747,-0.012196732,0.0037612431,0.034307699
1842,-0.0029770962,-0.023364341,-0.00029578692,-0.011066903,-0.0011126054,-0.012221699,0.004003904,0.034364026
1843,-0.0030670054,-0.023654313,-0.00030281749,-0.011178139,-0.0011463207,-0.012246236,0.0041252344,0.034418793
1844,-0.0032201988,-0.024397206,-0.00031127002,-0.011327871,-0.0012137513,-0.012270463,0.0043678953,0.034472333
1845,-0.0035008812,-0.026040088,-0.00032245626,-0.011553543,-0.0013486126,-0.012294499,0.004853217,0.034524981
1846,-0.003534245,-0.025828027,-0.00032890199,-0.011629303,-0.0013486126,-0.012318461,0.004853217,0.034577072
1847,-0.0037587888,-0.026966789,-0.00033938577,-0.011818587,-0.0014497585,-0.01234247,0.0052172082,0.034628939
1848,-0.0038586959,-0.027185156,-0.00034756235,-0.011933772,-0.0014834738,-0.012366643,0.0053385387,0.034680919
1849,-0.0040897015,-0.028278614,-0.00035862954,-0.012124554,-0.0015846198,-0.012391101,0.0057025299,0.034733345
1850,-0.0044234981,-0.029547099,-0.00037416462,-0.012339653,-0.001719481,-0.012415961,0.0061878516,0.034786553
1851,-0.0044976828,-0.028708176,-0.00038768958,-0.012812319,-0.001719481,-0.012192319,0.0061878516,0.034025147
1852,-0.0050445416,-0.030723152,-0.00046593358,-0.014525798,-0.001820627,-0.014814261,0.0065518429,0.041470783
1853,-0.0052788857,-0.030765368,-0.0004808272,-0.014548017,-0.0018880576,-0.014731806,0.0067945037,0.041224297
1854,-0.0060846449,-0.033951969,-0.0005074287,-0.014849416,-0.0022252107,-0.014630105,0.008007808,0.040923016
1855,-0.0063252925,-0.033894751,-0.00052106957,-0.014820149,-0.0022926414,-0.014501057,0.0082504688,0.04054828
1856,-0.0068257556,-0.035162522,-0.00054907985,-0.015102684,-0.0024612179,-0.014749033,0.0088571209,0.04124987
1857,-0.0070332814,-0.034901138,-0.00057105625,-0.01523335,-0.0024949333,-0.014999629,0.0089784514,0.041960387
1858,-0.0072386711,-0.034647706,-0.0005930365,-0.015351341,-0.0025286486,-0.015243927,0.0090997818,0.042654438
1859,-0.0077524403,-0.035820734,-0.00062236916,-0.015618446,-0.0026972251,-0.015490767,0.0097064339,0.043354263
1860,-0.0087149843,-0.039856666,-0.00066193748,-0.015989505,-0.0047856525,-0.015734595,0.01340599,0.044046977
