*year,value
"1850",0
"1850.167",0.000465881042914729
"1850.333",0.00103830204829281
"1850.5",-0.000293098063906705
"1850.667",-0.00140135548733092
"1850.833",-0.000288797654879713
"1851",-0.00000168294686708759
"1851.167",0.000464253833617312
"1851.333",0.00103662601904997
"1851.5",-0.000294796200365155
"1851.667",-0.00140308602326267
"1851.833",-0.0457286131067808
"1852",-0.106707736648381
"1852.167",-0.150725310397251
"1852.333",-0.148953429056147
"1852.5",-0.149005460200867
"1852.667",-0.152570723158585
"1852.833",-0.106221907863332
"1853",-0.0456944327474309
"1853.167",0.000451004895838047
"1853.333",0.00102347124177232
"1853.5",-0.000308440920532449
"1853.667",-0.00141708396503187
"1853.833",-0.0003042971999975
"1854",-0.0000268430459286761
"1854.167",0.000439420134930812
"1854.333",0.00101196021772637
"1854.5",-0.000320399667138233
"1854.667",-0.00142931672662874
"1854.833",-0.000316328246813602
"1855",-0.0000419388098045759
"1855.167",0.000424521689833229
"1855.333",0.000997119283564551
"1855.5",-0.000335794366662534
"1855.667",-0.0014450939307431
"1855.833",-0.000331803903867056
"1856",-0.0000603909234128119
"1856.167",0.000406314558893645
"1856.333",0.000979019557253075
"1856.5",-0.000354584598330626
"1856.667",-0.00146430021130578
"1856.833",-0.00035068177498801
"1857",-0.0000822110333537907
"1857.167",0.000384787911110351
"1857.333",0.000957573848292509
"1857.5",-0.000376767428980018
"1857.667",-0.00148705372537974
"1857.833",-0.000373022281827007
"1858",-0.000107365976933393
"1858.167",0.000359965121992434
"1858.333",0.00093285818320682
"1858.5",-0.000402375946479294
"1858.667",-0.00151331793563761
"1858.833",-0.000398825222354932
"1859",-0.000135887005052321
"1859.167",0.000331814918191481
"1859.333",0.00090489777821412
"1859.5",-0.000431417352789842
"1859.667",-0.00154304214775328
"1859.833",-0.00042804086001319
"1860",-0.00016778332499745
"1860.167",0.000300371244328912
"1860.333",0.000873591379348504
"1860.5",-0.000463896687414062
"1860.667",-0.00157625817007806
"1860.833",-0.000460718418805295
"1861",-0.000202993048536992
"1861.167",-0.0313185583467553
"1861.333",-0.293507823120734
"1861.5",-0.489869287155385
"1861.667",-0.552122465159407
"1861.833",-0.548684421202805
"1862",-0.509622747749162
"1862.167",-0.491578643611325
"1862.333",-0.476179481115692
"1862.5",-0.433327422508752
"1862.667",-0.357549417114289
"1862.833",-0.290506516446833
"1863",-0.227617996145087
"1863.167",-0.195145708593346
"1863.333",-0.171067923394939
"1863.5",-0.146728931862021
"1863.667",-0.119234553395614
"1863.833",-0.0934442210067188
"1864",-0.0587230200926068
"1864.167",-0.0464284577200642
"1864.333",-0.0393399503747515
"1864.5",-0.0343353858910617
"1864.667",-0.0289333645876211
"1864.833",-0.020498983742905
"1865",-0.00302935591181369
"1865.167",0.000085606756302814
"1865.333",0.000650245849667552
"1865.5",-0.000704612528751758
"1865.667",-0.00182722936132518
"1865.833",-0.000707118440946758
"1866",-0.000434190336162765
"1866.167",0.0000421687375679325
"1866.333",0.000616662295350012
"1866.5",-0.000730317462743602
"1866.667",-0.001849131727019
"1866.833",-0.000728891549203803
"1867",-0.000484840533771125
"1867.167",-0.0000124756977861185
"1867.333",0.000562293364016031
"1867.5",-0.000786697110627732
"1867.667",-0.00190687625322275
"1867.833",-0.000785606587755672
"1868",-0.000543576435220905
"1868.167",-0.000070372995363055
"1868.333",0.000504670751119068
"1868.5",-0.000846460550523176
"1868.667",-0.00196806895884369
"1868.833",-0.000845791673498575
"1869",-0.000605649220529969
"1869.167",-0.000131665417284432
"1869.333",0.000443729773692225
"1869.5",-0.000909659868511575
"1869.667",-0.00203279958967462
